<PAD>	1000000000
<UNK>	1000000000
<S>	1000000000
</S>	1000000000
的	305948
和	126521
在	69213
年	33875
了	32620
是	29894
第	28761
委员会	26997
对	24700
问题	22317
并	21360
月	21274
会议	20192
国家	20005
与	19547
联合国	18597
中	18460
将	17832
国际	17317
为	17199
报告	16943
发展	15761
日	15468
或	15092
其	14399
我们	14254
关于	14157
组织	14087
以及	13659
提供	13307
有	12914
决议	12836
以	12597
工作	12549
社会	11910
有关	11904
包括	11820
通过	11800
特别	11628
到	11593
方案	11539
所	11522
执行	11453
号	11294
其他	11293
这些	11126
不	10999
进行	10923
安全	10672
一个	10580
情况	10449
机构	10170
该	10029
方面	10005
公约	9729
上	9708
妇女	9592
活动	9395
人权	9287
行动	8930
大会	8900
建议	8775
向	8687
项目	8593
所有	8447
理事会	8420
根据	8320
决定	8181
政府	8157
就	8123
还	8021
儿童	7816
规定	7686
合作	7535
也	7521
经济	7497
这	7482
区域	7380
及	7276
而	7244
地	7233
应	7122
草案	7075
可	7047
提出	6889
必须	6885
条	6763
代表	6664
需要	6576
秘书长	6524
目标	6510
加强	6474
保护	6295
下	6082
各	6073
促进	6061
支持	6021
人	5987
继续	5894
被	5886
采取	5878
法律	5817
和平	5795
使	5719
权利	5622
没有	5619
措施	5605
要求	5598
时	5553
确保	5498
他	5487
认为	5461
注意	5437
都	5413
技术	5399
于	5379
努力	5354
各国	5330
主席	5299
缔约国	5210
但	5177
段	5084
提交	5041
他们	4996
实现	4948
先生	4894
可能	4882
审议	4881
管理	4855
新	4808
由	4796
建立	4758
文件	4720
政策	4716
任何	4708
影响	4699
举行	4674
请	4626
成员	4568
我	4561
小组	4559
能力	4482
审查	4482
本	4470
内	4466
作为	4456
已	4448
一些	4425
更	4357
从	4346
这种	4342
世界	4339
这一	4325
议程	4325
援助	4306
重要	4291
考虑	4283
行为	4268
主要	4265
信息	4241
可以	4240
作出	4214
缔约方	4214
领域	4162
教育	4127
资源	4087
开展	4087
代表团	4041
它	4040
发言	4039
系统	4017
有效	3975
参与	3972
因此	3933
使用	3923
服务	3917
之间	3890
实施	3879
